Date,Campaign,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,13,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,8,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,7,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,8,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,6,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,7,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,6,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
10/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
6/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
5/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,Q4_2022,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),21,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),15,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,6,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
8/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
9/10/2022,NA,NA,NA,NA,NA,NA,NA,Broker Login,1,General traffic
6/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
4/10/2022,Announcement,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
6/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/10/2022,adhocwhol,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),2,Campaign
4/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Start Closing More,1,Campaign
4/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
4/10/2022,Brand_Exact,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Learn More (Community Mortgage),1,Campaign
